,SMILES,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,fp
10,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e027ed0>
11,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e027f40>
12,CC(C)COC(=O)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028040>
13,C=C(C)C(=O)OCCOC(=O)C(=C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0280b0>
14,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028120>
15,O=C([O-])Cc1cccc2ccccc12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028190>
16,CCCCCCCCCCOCC(O)CN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028200>
17,CCN(CC)C(=O)c1cccnc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028270>
18,COc1cc(O)cc(O)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0282e0>
19,CCOC(=O)c1cccnc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028350>
20,CCOc1ccc(S(=O)(=O)O)c2cccnc12,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0283c0>
21,O=C(O)[C@H](O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028430>
22,Nc1ccc(/N=N/c2ccccc2)cc1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0284a0>
23,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028510>
24,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028580>
25,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0285f0>
26,C#CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028660>
27,Nc1ccccc1S(=O)(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0286d0>
28,CC(O)CC(C)(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028740>
29,CC(C)(C)CC(C)(C)N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0287b0>
30,CC(=O)CC(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028820>
31,CCCC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028890>
32,Nc1nc2ccccc2[nH]1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028900>
33,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028970>
34,c1ccc(-c2ccccc2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0289e0>
35,CNC(=O)Nc1ccc(Cl)c(Cl)c1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028a50>
36,CC(=O)Nc1ccc(C)c(Cl)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028ac0>
37,CCCCNC(=S)NCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028b30>
38,CCCCNC(=O)NCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028ba0>
39,CC(C)N(c1ccccc1)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028c10>
40,CCc1cccc(C)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028c80>
41,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028cf0>
42,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028d60>
43,CCCCCCCCCCC=CC1CC(=O)OC1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028dd0>
44,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028e40>
45,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028eb0>
46,CCOP(=S)(CC)Sc1ccccc1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028f20>
47,CC/C=C\CCCCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e028f90>
48,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029000>
49,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029070>
50,CC(=O)CCC(C)=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0290e0>
51,N#CCCNCCC#N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029150>
52,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0291c0>
53,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029230>
54,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0292a0>
55,CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029310>
56,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029380>
57,Cc1ccccc1CCO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0293f0>
58,Cc1nc(C)c(C)nc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029460>
59,CC1=CC(O)CC(C)(C)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0294d0>
60,Cc1cnc(C)c(C)n1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029540>
61,CC(C)COC(=O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0295b0>
62,C=C(C)[C@@H]1CC=C(C)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029620>
63,O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029690>
64,Nc1ccc(N)c([N+](=O)[O-])c1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029700>
65,CC1COc2ccccc2N1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029770>
66,O=C(O)c1cc(Cl)cc(Cl)c1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0297e0>
67,CCCCCCCCCCCC(=O)NCCCN(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029850>
68,CC(C)CCCCCOC(=O)CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0298c0>
69,O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029930>
70,CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18dbbbd80>
71,C=CCOc1c(Br)cc(Br)cc1Br,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e0299a0>
72,F[B-](F)(F)F.[H+],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029a10>
73,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029a80>
74,C(=C/c1ccccc1)\c1ccccc1,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029af0>
75,Cc1ccc2c(ccc3ccccc32)c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029b60>
76,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029bd0>
77,C[C@H]1O[C@@H](n2cc(F)c(=O)[nH]c2=O)[C@H](O)[C@@H]1O,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029c40>
78,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029cb0>
79,COC(=O)C1=CCCN(C)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029d20>
80,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029d90>
81,Cc1ccc(C(=O)O)cc1[N+](=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029e00>
82,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029e70>
83,CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029ee0>
84,CCCCCC(C)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029f50>
85,O=C([O-])c1ccccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e029fc0>
86,NC(=O)c1ccccc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a030>
87,CCN1CCc2nc(N)oc2CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a0a0>
88,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a110>
89,O=C1C(N(CO)C(=O)NCO)N(CO)C(=O)N1CO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a180>
90,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1/C=C/Br,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a1f0>
91,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a260>
92,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a2d0>
93,CCNC(=O)N1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a340>
94,Nc1ccc([N+](=O)[O-])cc1N,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a3b0>
95,[I-].[K+],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a420>
96,O=C(C=Cc1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a490>
97,Oc1nc(Cl)c(Cl)cc1Cl,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a500>
98,C/C=C/C=C/C=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a570>
99,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a5e0>
100,C[Si](C)(C)N[Si](C)(C)C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a650>
101,C=CC(=O)OCCCl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a6c0>
102,COCC(C)N(C(=O)CCl)c1c(C)csc1C,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a730>
103,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a7a0>
104,C/C(=N\NC(=O)Nc1cc(F)cc(F)c1)c1ncccc1C(=O)[O-],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a810>
105,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a880>
106,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a8f0>
107,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a960>
108,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02a9d0>
109,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18e02aa40>
110,CC[C@H]1[C@@H]2C[C@H]3[C@@H]4N(C)c5ccccc5[C@]45C[C@@H](C2[C@H]5O)N3[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18dbbbed0>
111,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x18dbbbd10>
